NodeID,Tweet_ID
1,5536782
1,18730634
1,29829339
1,3885075376
1,245970451
1,454384410
1,250371623
1,6754922
1,602578515
1,110396781
1,5536782
1,2497691
1,1661857788
1,231687318
1,1661857788
1,260907612
1,22798324
1,5536782
1,5536782
1,5536782
1,409551566
1,5536782
1,438287055
1,262457844
1,5536782
1,2174573976
1,262457844
1,16656851
1,17476533
1,138020428
2,224
2,1689053928
2,20640328
2,5988062
2,143089412
2,143089412
2,10876852
2,143089412
2,143089412
3,2816672744
3,23109598
3,249830418
3,249830418
3,297515020
3,23109598
3,3431512005
3,249830418
3,249830418
3,216810337
3,3876850882
3,5536782
3,3876850882
3,249830418
3,249830418
3,23109598
3,23109598
3,15131462
3,114283963
3,569598189
3,703123258
3,415798847
3,114283963
3,62088631
3,703123258
3,221927862
3,144047190
3,415798847
3,297515020
3,249863905
3,3219831907
3,569598189
3,144047190
3,415798847
3,904436851
3,114283963
3,249863905
3,3219831907
3,62088631
3,114283963
3,221927862
3,249863905
3,904436851
3,3219831907
3,3785379733
3,297515020
5,93711247
5,113713261
5,113713261
5,447644824
5,113713261
5,93711247
5,111197966
5,111197966
5,113713261
5,4490396355
5,4490396355
5,111197966
5,111197966
5,113713261
5,1728160536
5,93711247
5,113713261
5,113713261
5,1425993918
5,447644824
5,170393291
5,113713261
5,113713261
5,113713261
5,93711247
5,113713261
5,93711247
5,93711247
5,93711247
5,32337513
5,93711247
5,93711247
5,93711247
5,93711247
5,25412522
5,80843262
5,113713261
6,113713261
6,1449946915
6,851970428
6,851970428
6,381651557
6,283641321
6,2864105909
6,191633564
7,15491797
7,417794682
7,375301851
7,23290620
7,23290620
7,399608342
7,23290620
7,307989455
7,369690250
7,307989455
7,307989455
7,307989455
7,400783238
7,369690250
7,369690250
7,284493447
7,369690250
7,307989455
8,3315420203
8,124790372
8,227021376
8,254218142
8,227021376
9,32522055
9,17264476
9,5513002
9,1729588196
9,634734888
9,1131895903
9,1242580045
9,1231224926
9,474259753
9,433219396
9,265882937
9,68087815
9,500724305
9,85583894
9,2404419367
9,615318971
9,85583894
9,3024075586
9,85583894
9,100920952
9,220580018
9,500724305
9,1536864823
9,3568143082
9,85583894
9,230983475
9,415938005
9,1536864823
9,3242034839
9,2452458853
9,2490066595
9,53064751
9,500724305
9,85660525
9,85583894
9,813784572
9,350308945
9,343613500
9,4335197537
9,238228002
9,85583894
9,3024075586
9,85583894
9,85583894
9,813784572
9,242438723
9,940664990
9,2657361602
10,2838975021
10,3105025619
10,3214083845
10,3158007524
10,3214083845
10,239226958
10,3105025619
10,3158007524
10,3158007524
10,137557408
10,3158007524
10,132529995
10,3065847731
10,17064644
10,17064644
10,2482942153
10,394689485
10,2349331751
10,105303657
10,2801167924
10,96627657
10,27906386
10,3241854899
10,32742761
10,3431849283
10,3158007524
10,3158007524
10,3241854899
10,2678369300
10,105303657
10,3105025619
10,3066144892
10,836594130
